"id","han_ji","chu_im","freq","siann","un","tiau","old_chu_im","sni_siann","sni_un"
1,"𪑖","pun1",,"p","un",1,"pun1","邊","君"
2,"𪒰","pun1",,"p","un",1,"pun1","邊","君"
3,"君","kun1",,"k","un",1,"kun1","求","君"
4,"褌","kun1",,"k","un",1,"kun1","求","君"
5,"裩","kun1",,"k","un",1,"kun1","求","君"
6,"軍","kun1",,"k","un",1,"kun1","求","君"
7,"坤","khun1",,"kh","un",1,"khun1","去","君"
8,"昆","khun1",,"kh","un",1,"khun1","去","君"
9,"崑","khun1",,"kh","un",1,"khun1","去","君"
10,"蜫","khun1",,"kh","un",1,"khun1","去","君"
11,"鯤","khun1",,"kh","un",1,"khun1","去","君"
12,"髡","khun1",,"kh","un",1,"khun1","去","君"
13,"鵾","khun1",,"kh","un",1,"khun1","去","君"
14,"囷","khun1",,"kh","un",1,"khun1","去","君"
15,"菌","khun1",,"kh","un",1,"khun1","去","君"
16,"麕","khun1",,"kh","un",1,"khun1","去","君"
17,"峮","khun1",,"kh","un",1,"khun1","去","君"
18,"琨","khun1",,"kh","un",1,"khun1","去","君"
19,"焜","khun1",,"kh","un",1,"khun1","去","君"
20,"敦","tun1",,"t","un",1,"tun1","地","君"
21,"墩","tun1",,"t","un",1,"tun1","地","君"
22,"憞","tun1",,"t","un",1,"tun1","地","君"
23,"𡼖","tun1",,"t","un",1,"tun1","地","君"
24,"迍","tun1",,"t","un",1,"tun1","地","君"
25,"芚","tun1",,"t","un",1,"tun1","地","君"
26,"諄","tun1",,"t","un",1,"tun1","地","君"
27,"燉","tun1",,"t","un",1,"tun1","地","君"
28,"噋","tun1",,"t","un",1,"tun1","地","君"
29,"窀","tun1",,"t","un",1,"tun1","地","君"
30,"鈍","tun1",,"t","un",1,"tun1","地","君"
31,"奔","phun1",,"ph","un",1,"phun1","頗","君"
32,"犇","phun1",,"ph","un",1,"phun1","頗","君"
33,"賁","phun1",,"ph","un",1,"phun1","頗","君"
34,"噴","phun1",,"ph","un",1,"phun1","頗","君"
35,"歕","phun1",,"ph","un",1,"phun1","頗","君"
