han_ji,chu_im,freq,siann,un, tiau ,old_chu_im,sni_siann,sni_un
𪑖,pun1,,p,un,1,pun1,邊,君
𪒰,pun1,0.01,p,un,1,pun1,邊,君
君,kun1,,k,un,1,kun1,求,君
褌,kun1,,k,un,1,kun1,求,君
裩,kun1,0.01,k,un,1,kun1,求,君
軍,kun1,,k,un,1,kun1,求,君
坤,khun1,,kh,un,1,khun1,去,君
昆,khun1,,kh,un,1,khun1,去,君
崑,khun1,,kh,un,1,khun1,去,君
蜫,khun1,,kh,un,1,khun1,去,君
鯤,khun1,,kh,un,1,khun1,去,君
髡,khun1,,kh,un,1,khun1,去,君
鵾,khun1,,kh,un,1,khun1,去,君
囷,khun1,,kh,un,1,khun1,去,君
菌,khun1,,kh,un,1,khun1,去,君
麕,khun1,,kh,un,1,khun1,去,君
峮,khun1,,kh,un,1,khun1,去,君
琨,khun1,,kh,un,1,khun1,去,君
焜,khun1,,kh,un,1,khun1,去,君
敦,tun1,,t,un,1,tun1,地,君
墩,tun1,,t,un,1,tun1,地,君
憞,tun1,,t,un,1,tun1,地,君
𡼖,tun1,,t,un,1,tun1,地,君
迍,tun1,,t,un,1,tun1,地,君
芚,tun1,,t,un,1,tun1,地,君
諄,tun1,,t,un,1,tun1,地,君
燉,tun1,,t,un,1,tun1,地,君
噋,tun1,,t,un,1,tun1,地,君
窀,tun1,,t,un,1,tun1,地,君
鈍,tun1,,t,un,1,tun1,地,君
奔,phun1,,ph,un,1,phun1,頗,君
犇,phun1,0.01,ph,un,1,phun1,頗,君
賁,phun1,,ph,un,1,phun1,頗,君
噴,phun1,,ph,un,1,phun1,頗,君
歕,phun1,,ph,un,1,phun1,頗,君
𧾜,phun1,,ph,un,1,phun1,頗,君
䊩,phun1,,ph,un,1,phun1,頗,君
吞,thun1,,th,un,1,thun1,他,君
焞,thun1,,th,un,1,thun1,他,君
椿,thun1,,th,un,1,thun1,他,君
暾,thun1,,th,un,1,thun1,他,君
涒,thun1,,th,un,1,thun1,他,君
䡅,thun1,,th,un,1,thun1,他,君
𪎶,thun1,,th,un,1,thun1,他,君
僎,tsun1,,ts,un,1,tsun1,曾,君
𠊨,tsun1,0.01,ts,un,1,tsun1,曾,君
尊,tsun1,,ts,un,1,tsun1,曾,君
樽,tsun1,,ts,un,1,tsun1,曾,君
罇,tsun1,,ts,un,1,tsun1,曾,君
遵,tsun1,,ts,un,1,tsun1,曾,君
嶟,tsun1,,ts,un,1,tsun1,曾,君
蹲,tsun1,,ts,un,1,tsun1,曾,君
惇,tsun1,,ts,un,1,tsun1,曾,君
屯,tsun1,,ts,un,1,tsun1,曾,君
肫,tsun1,,ts,un,1,tsun1,曾,君
窀,tsun1,,ts,un,1,tsun1,曾,君
諄,tsun1,,ts,un,1,tsun1,曾,君
啍,tsun1,,ts,un,1,tsun1,曾,君
噂,tsun1,,ts,un,1,tsun1,曾,君
鱒,tsun1,,ts,un,1,tsun1,曾,君
𤁩,tsun1,,ts,un,1,tsun1,曾,君
孫,sun1,,s,un,1,sun1,時,君
蓀,sun1,,s,un,1,sun1,時,君
猻,sun1,,s,un,1,sun1,時,君
飧,sun1,,s,un,1,sun1,時,君
飱,sun1,,s,un,1,sun1,時,君
槂,sun1,,s,un,1,sun1,時,君
温,qun1,,q,un,1,un1,英,君
溫,qun1,0.01,q,un,1,un1,英,君
氳,qun1,,q,un,1,un1,英,君
熅,qun1,,q,un,1,un1,英,君
瘟,qun1,,q,un,1,un1,英,君
薀,qun1,,q,un,1,un1,英,君
馧,qun1,,q,un,1,un1,英,君
